epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,148.613,0.5587,1.16761,1.11383,0.98036,1,0.995,0.94525,0.41814,1.60091,0.74897,0.00092825,0.00092825,0.00092825
15,158.799,0.54807,1.21803,1.06708,0.98036,1,0.995,0.94525,0.41814,1.60091,0.74897,0.0009035,0.0009035,0.0009035
16,169.167,0.49135,1.21198,1.07342,0.97827,1,0.995,0.94525,0.31726,2.0901,0.59897,0.00087875,0.00087875,0.00087875
17,179.645,0.47746,1.00569,1.05228,0.84297,1,0.995,0.94525,0.38257,1.58882,0.70831,0.000854,0.000854,0.000854
18,189.762,0.483,1.101,1.03774,0.93158,1,0.995,0.92037,0.34873,1.31188,0.65404,0.00082925,0.00082925,0.00082925
19,199.892,0.52943,1.14563,1.10954,0.98816,1,0.995,0.92037,0.48632,1.18971,0.82921,0.0008045,0.0008045,0.0008045
20,210.179,0.49288,1.24504,1.08542,0.98816,1,0.995,0.92037,0.48632,1.18971,0.82921,0.00077975,0.00077975,0.00077975
21,220.895,0.48038,1.14325,1.07579,0.98516,1,0.995,0.97013,0.4074,1.24216,0.69259,0.000755,0.000755,0.000755
22,232.149,0.40567,1.01017,0.97562,0.97697,1,0.995,0.97013,0.32862,1.16889,0.60545,0.00073025,0.00073025,0.00073025
1,20.9318,1.50919,3.35736,2.06355,0.00334,1,0.8367,0.54011,0.77147,3.74113,1.63826,0.0002375,0.0002375,0.0002375
2,37.0901,0.97485,2.65207,1.48168,0.00332,1,0.71233,0.60296,0.54878,3.47609,1.22417,0.000477848,0.000477848,0.000477848
3,53.0328,0.74374,2.12582,1.3143,0.92488,0.75,0.87062,0.77112,0.73494,2.39155,1.26171,0.000708295,0.000708295,0.000708295
4,68.7341,0.71838,1.65141,1.21601,0.98287,0.5,0.80516,0.65133,1.01023,2.59421,1.58632,0.000928842,0.000928842,0.000928842
5,84.434,0.67948,1.56474,1.19019,0.7847,0.75,0.995,0.87063,0.71803,2.37616,1.16354,0.00113949,0.00113949,0.00113949
6,100.67,0.64225,1.60885,1.17066,0.5337,1,0.995,0.92037,0.51786,5.92195,0.8769,0.00112625,0.00112625,0.00112625
7,116.725,0.5861,1.37397,1.10646,0.50385,1,0.995,0.92037,0.45949,6.41994,0.80935,0.0011015,0.0011015,0.0011015
8,132.304,0.58089,1.43322,1.13701,0.77503,1,0.995,0.995,0.30506,4.44968,0.66563,0.00107675,0.00107675,0.00107675
9,147.699,0.53676,1.20095,1.07476,0.97329,1,0.995,0.97013,0.44297,2.32107,0.77827,0.001052,0.001052,0.001052
10,163.052,0.58365,1.37293,1.16813,0.83046,1,0.995,0.8955,0.38217,2.23372,0.72035,0.00102725,0.00102725,0.00102725
11,178.748,0.4899,1.17957,1.05303,0.98382,1,0.995,0.92037,0.41486,2.2809,0.76832,0.0010025,0.0010025,0.0010025
12,194.408,0.51842,1.054,1.05247,0.99006,1,0.995,0.94525,0.36757,1.61834,0.69715,0.00097775,0.00097775,0.00097775
13,210.068,0.51973,1.133,1.09501,0.99108,1,0.995,0.94525,0.3793,1.20973,0.69493,0.000953,0.000953,0.000953
14,225.888,0.43197,1.02322,1.04216,0.96701,1,0.995,0.92037,0.49662,1.32244,0.85051,0.00092825,0.00092825,0.00092825
15,241.505,0.45216,0.99032,1.0094,0.98545,1,0.995,0.92037,0.43315,1.27657,0.75825,0.0009035,0.0009035,0.0009035
16,256.851,0.43648,1.00058,1.02878,0.98635,1,0.995,0.995,0.24945,1.12354,0.59319,0.00087875,0.00087875,0.00087875
17,272.147,0.44466,0.94533,0.98377,0.98505,1,0.995,0.995,0.27814,1.10692,0.6298,0.000854,0.000854,0.000854
18,288.373,0.41404,0.878,1.00393,0.99148,1,0.995,0.995,0.29747,1.04402,0.62192,0.00082925,0.00082925,0.00082925
